"station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","codesum","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed"
18,2012-01-05,18,1,9,6,0,5,14,0,731,1735," ",1,1,29.66,30.21,5.0004,18,5.3708
19,2012-01-05,8,-4,2,16,-4,0,28,0,723,1631," ",1,1,29.02,29.83,15.5568,23,15.742
20,2012-01-05,19,2,10,NA,0,6,13,0,605,1810," ",1,1,29.46,30.21,3.8892,23,8.1488
1,2012-01-06,7,-4,1,NA,-7,-2,29,0,612,1813,"SN",NA,284,29.68,29.84,0.5556,1,4.4448
2,2012-01-06,8,-7,0,10,-5,-2,31,0,716,1630,"SN",3,2,28.71,29.81,11.8528,22,12.5936
3,2012-01-06,20,4,12,19,1,6,10,0,735,1724," ",1,1,29.16,29.89,11.2972,18,17.7792
4,2012-01-06,23,12,17,14,11,NA,0,0,728,1745,"BR",1,1,29.26,NA,7.7784,19,10.0008
6,2012-01-06,23,6,14,NA,12,13,7,2,728,1745,"BR",1,284,29.44,29.99,19.6312,19,20.0016
7,2012-01-06,19,5,12,NA,-1,5,11,0,610,1812," ",1,1,28.51,29.89,13.5196,22,26.6688
8,2012-01-06,22,13,17,NA,11,14,7,7,609,1812,"BR HZ",NA,1,29.65,NA,14.2604,20,14.816
9,2012-01-06,8,1,4,NA,-3,2,24,0,609,1812," ",1,1,29,29.75,17.2236,28,17.594
10,2012-01-06,22,6,14,NA,6,10,7,0,724,1741,"FG+ BR",NA,1,30.14,30.16,5.1856,21,8.1488
11,2012-01-06,21,2,11,1,4,7,11,0,725,1741,"FG+ BR",1,1,30.12,30.16,3.3336,25,3.8892
12,2012-01-06,21,3,12,NA,6,8,11,0,608,1811,"FG+ BR",1,1,30.12,30.17,4.4448,24,4.8152
13,2012-01-06,7,-4,1,NA,-6,-1,30,0,607,1811," ",NA,1,24.21,30.01,6.6672,12,11.4824
14,2012-01-06,19,2,10,16,-1,5,13,0,740,1733," ",1,1,28.5,29.89,9.4452,21,22.5944
15,2012-01-06,0,-10,-5,4,-8,-5,41,0,718,1626,"SN",3,2,29.46,29.83,1.1112,35,3.3336
16,2012-01-06,7,-4,1,NA,-5,-2,30,0,606,1811," ",NA,284,29.72,29.82,2.9632,19,4.8152
17,2012-01-06,20,1,10,NA,1,6,13,0,606,1810," ",1,1,29.23,29.92,6.2968,19,13.89
18,2012-01-06,22,8,15,16,7,11,4,0,731,1736," ",1,1,29.39,29.93,15.9272,19,16.8532
19,2012-01-06,10,3,6,24,-2,3,20,0,723,1632," ",1,1,28.95,29.71,13.3344,27,14.6308
20,2012-01-06,23,10,16,NA,8,12,3,0,605,1810," ",1,1,29.19,29.93,12.964,19,14.816
1,2012-01-07,13,-3,5,NA,-3,2,22,0,612,1813," ",NA,1,29.57,29.76,5.556,26,6.6672
2,2012-01-07,13,2,7,23,-2,3,18,0,716,1631," ",1,1,28.63,29.75,16.4828,26,17.7792
3,2012-01-07,14,2,8,11,-4,3,18,0,735,1725," ",1,1,29.36,30.06,15.1864,1,16.4828
4,2012-01-07,20,9,14,8,6,NA,6,0,729,1746,"FG+ BR",1,1,NA,NA,1.852,30,4.2596
6,2012-01-07,21,7,14,9,7,10,7,0,728,1746,"FG+ BR",1,1,29.47,30,2.9632,33,6.2968
7,2012-01-07,14,0,7,NA,-4,2,19,0,609,1812," ",1,1,28.69,30.06,18.1496,2,19.2608
8,2012-01-07,20,12,16,NA,10,12,10,6,609,1812,"FG+ FG BR",NA,1,29.63,NA,0.7408,31,3.1484
9,2012-01-07,3,-6,-2,NA,-7,-4,35,0,609,1812," ",NA,1,29.36,30.11,9.8156,30,13.7048
10,2012-01-07,21,9,15,NA,10,12,5,0,724,1742,"FG+ FG BR",NA,2,30.11,30.15,3.5188,20,5.556
11,2012-01-07,22,5,13,5,8,10,7,0,725,1742,"FG+ FG BR",1,284,30.1,30.15,3.704,27,4.2596
12,2012-01-07,21,6,13,NA,10,12,8,0,608,1811,"FG+ FG BR",1,2,30.09,30.15,3.5188,25,4.4448
13,2012-01-07,3,-6,-2,NA,-5,-3,34,0,607,1811,"SN FG+ FZFG BR",NA,17,24.19,30.07,8.5192,33,10.9268
14,2012-01-07,15,3,9,13,-5,3,16,0,740,1734," ",1,1,28.66,30.05,20.372,3,21.8536
15,2012-01-07,6,-6,0,13,-4,-2,32,0,718,1627," ",1,1,29.35,29.75,1.1112,29,1.6668
16,2012-01-07,14,-4,5,NA,-2,2,23,0,606,1811," ",NA,1,29.6,29.73,5.1856,29,6.8524
17,2012-01-07,15,4,9,NA,-4,3,15,0,606,1810," ",1,1,29.41,30.08,17.0384,2,17.4088
18,2012-01-07,16,6,11,8,5,8,12,0,731,1737," ",1,1,29.47,29.98,7.9636,31,11.8528
19,2012-01-07,5,-2,1,14,-5,-1,30,0,722,1633," ",1,1,29.32,30.03,13.7048,30,14.2604
20,2012-01-07,16,7,11,NA,5,8,12,0,605,1810," ",1,1,29.27,29.97,10.9268,29,15.0012
1,2012-01-08,7,-3,2,NA,-6,0,29,0,611,1813," ",NA,1,29.9,30.11,9.4452,30,12.2232
2,2012-01-08,3,-4,-1,8,-7,-2,33,0,716,1633," ",1,1,28.95,30.11,20.0016,29,20.372
3,2012-01-08,11,0,5,7,-3,3,22,0,735,1726," ",1,1,29.45,30.16,15.3716,36,15.5568
4,2012-01-08,15,8,11,3,8,NA,11,0,729,1747,"RA HZ",1,6,29.31,NA,4.4448,3,6.6672
6,2012-01-08,16,5,10,3,9,11,13,0,728,1747,"RA BR",1,2,29.47,30,14.2604,2,15.0012
7,2012-01-08,10,3,6,NA,-4,2,20,0,609,1812," ",1,1,28.78,30.16,19.6312,1,20.0016
8,2012-01-08,22,11,16,NA,12,14,7,5,609,1812,"RA BR HZ",NA,4,29.64,NA,2.0372,36,2.2224
9,2012-01-08,5,-8,-2,NA,-5,-3,35,0,609,1812,"BR",NA,1,29.42,30.22,2.0372,19,3.5188
10,2012-01-08,23,9,16,NA,10,12,3,0,724,1743," ",NA,1,30.17,30.21,5.556,14,5.7412
11,2012-01-08,23,5,14,6,9,11,6,0,725,1742,"BR",1,1,30.17,30.21,3.704,15,4.63
12,2012-01-08,23,7,15,NA,10,12,5,0,608,1811,"FG BR",1,1,30.16,30.22,2.0372,14,2.778
13,2012-01-08,0,-12,-6,NA,-10,-7,43,0,607,1811," ",NA,1,24.32,30.29,7.0376,18,8.5192
14,2012-01-08,10,5,7,11,-4,3,18,0,740,1735," ",1,1,28.76,30.14,19.446,2,20.0016
15,2012-01-08,5,-7,-1,11,-7,-3,34,0,717,1628," ",1,1,29.67,30.11,13.7048,31,14.6308
16,2012-01-08,6,-3,1,NA,-6,0,30,0,606,1811," ",NA,1,29.93,30.08,11.112,30,12.5936
17,2012-01-08,11,3,7,NA,-3,3,19,0,606,1810," ",1,1,29.5,30.18,13.3344,1,14.0752
18,2012-01-08,14,4,9,4,7,8,16,0,731,1738,"TSRA FG+ BR HZ",1,3,29.56,30.07,7.0376,2,7.5932
19,2012-01-08,5,-8,-2,9,-7,-3,35,0,722,1635," ",1,1,29.53,30.29,8.1488,23,8.334
20,2012-01-08,15,3,9,NA,6,8,16,0,605,1810,"RA BR HZ VCTS",1,14,29.34,30.06,8.7044,1,10.7416
1,2012-01-09,3,-5,-1,NA,-12,-4,34,0,611,1813," ",NA,1,30.06,30.2,4.2596,23,7.408
2,2012-01-09,3,-7,-2,6,-12,NA,35,0,716,1634," ",1,1,29.05,NA,12.7788,25,14.6308
3,2012-01-09,12,-4,4,4,-3,1,25,0,735,1727," ",1,1,29.46,30.2,12.2232,35,13.3344
4,2012-01-09,13,5,9,-1,8,8,15,0,729,1748,"RA BR",1,88,29.33,30.02,12.2232,34,15.1864
6,2012-01-09,14,6,10,2,8,9,14,0,728,1748,"TSRA RA DZ BR",1,63,29.48,30,20.7424,35,23.15
7,2012-01-09,11,-3,4,NA,-4,1,25,0,609,1812," ",1,1,28.79,30.21,15.9272,36,16.2976
8,2012-01-09,20,8,14,NA,10,11,10,3,609,1812,"TSRA RA DZ BR VCTS",NA,63,29.6,NA,15.5568,34,17.4088
9,2012-01-09,9,-3,3,NA,-4,0,27,0,609,1812," ",NA,1,29.17,29.96,12.5936,25,13.89
10,2012-01-09,23,11,17,NA,12,14,1,0,724,1744,"BR",NA,1,30.14,30.17,4.0744,16,4.4448
11,2012-01-09,24,7,15,8,10,12,4,0,725,1743,"FG BR",1,1,30.14,30.17,2.9632,25,3.3336
12,2012-01-09,23,9,16,NA,11,13,3,0,608,1811,"FG+ BR",1,1,30.13,30.17,3.8892,22,4.2596
13,2012-01-09,8,-9,-1,NA,-8,-3,33,0,607,1811," ",NA,1,24.37,30.31,6.2968,18,7.2228
14,2012-01-09,10,0,5,6,-4,1,23,0,740,1735," ",1,1,28.77,30.19,19.446,36,19.6312
15,2012-01-09,1,-10,-5,5,-11,-7,40,0,717,1629," ",1,1,29.81,30.18,1.852,16,5.3708
16,2012-01-09,3,-7,-2,NA,-10,-4,35,0,606,1811," ",NA,1,30.09,30.18,5.0004,25,9.8156
17,2012-01-09,12,0,6,NA,-4,2,21,0,606,1810," ",1,1,29.52,30.22,8.5192,1,9.26
18,2012-01-09,10,6,8,3,6,7,17,0,731,1738,"TSRA RA BR",1,133,29.54,30.08,14.816,36,16.668
19,2012-01-09,7,-3,2,16,-4,0,28,0,722,1636," ",1,1,29.23,30.03,21.6684,24,22.4092
20,2012-01-09,10,6,8,NA,6,7,18,0,605,1810,"RA BR VCTS",1,157,29.33,30.07,17.594,36,20.1868
1,2012-01-10,8,-2,3,NA,-5,0,27,0,611,1814," ",NA,284,29.69,29.86,10.0008,25,12.038
2,2012-01-10,5,-4,0,9,-5,-2,32,0,716,1635,"SN",76,284,28.74,29.86,17.7792,26,18.52
3,2012-01-10,10,-2,4,5,-2,2,24,0,735,1727," ",1,1,29.16,29.94,5.556,34,8.5192
4,2012-01-10,14,5,9,-1,2,6,15,0,729,1749," ",1,1,29.24,29.97,10.186,30,13.1492
6,2012-01-10,15,1,8,-1,2,6,17,0,728,1749," ",1,284,29.41,29.97,14.4456,31,15.5568
7,2012-01-10,12,0,6,NA,-3,2,21,0,609,1812,"RA",1,284,28.51,29.95,9.26,36,12.038
8,2012-01-10,15,5,10,NA,3,6,17,2,609,1812," ",NA,1,29.6,NA,13.7048,30,15.0012
9,2012-01-10,12,-5,3,NA,-2,1,26,0,609,1812,"BR",NA,1,29,29.82,4.63,17,6.6672
10,2012-01-10,23,13,18,NA,13,15,0,0,724,1744,"RA BR HZ",NA,1,30.03,30.05,6.6672,17,7.5932
11,2012-01-10,24,8,16,9,12,13,3,0,725,1744,"BR",1,1,30.02,30.05,6.8524,17,7.5932
12,2012-01-10,23,8,15,NA,12,14,3,0,608,1811,"BR",1,1,30.02,30.05,6.2968,19,7.0376
13,2012-01-10,13,-3,5,NA,-5,0,23,0,607,1811," ",NA,1,24.13,29.96,7.5932,16,8.334
14,2012-01-10,12,-2,5,6,-3,2,23,0,740,1736,"RA",1,284,28.5,29.93,12.2232,36,14.816
15,2012-01-10,6,-5,0,13,-7,-2,32,0,717,1630," ",1,1,29.44,29.84,5.1856,27,11.6676
16,2012-01-10,8,-3,2,NA,-4,0,27,0,606,1811,"SN BR",NA,2,29.72,29.84,9.6304,26,11.6676
17,2012-01-10,11,1,6,NA,-3,2,21,0,606,1810," ",1,1,29.22,29.95,4.0744,1,4.63
18,2012-01-10,7,5,6,-1,5,6,21,0,731,1739,"TS TSRA RA DZ BR",1,50,29.34,29.89,14.816,31,16.4828
19,2012-01-10,10,-4,3,17,-3,1,27,0,722,1637," ",1,1,29.14,29.93,8.334,21,9.0748
20,2012-01-10,8,5,6,NA,5,6,20,0,605,1810,"TSRA RA BR",1,31,29.13,29.88,20.9276,31,21.6684
1,2012-01-11,3,-5,-1,NA,-7,-2,33,0,611,1814," ",NA,1,29.91,30.1,6.2968,7,7.7784
2,2012-01-11,3,-3,0,9,-6,-3,32,0,715,1636," ",1,1,28.92,30.06,2.778,9,8.334
3,2012-01-11,16,-2,7,9,-2,2,20,0,735,1728,"SN BR",6,3,29.08,29.79,17.594,32,22.4092
4,2012-01-11,25,3,14,7,2,NA,7,0,729,1749," ",1,1,29.1,NA,6.8524,29,11.6676
6,2012-01-11,24,-2,11,4,2,7,12,0,728,1749," ",1,1,29.28,29.81,10.7416,24,18.3348
7,2012-01-11,11,-3,4,NA,-3,1,24,0,609,1812,"SN BR",76,284,28.47,29.84,23.15,34,29.2616
8,2012-01-11,22,5,13,NA,2,8,11,3,609,1812," ",NA,1,29.45,NA,11.8528,25,16.4828
9,2012-01-11,3,-10,-4,NA,-6,-4,39,0,609,1812,"SN BR",NA,284,28.99,29.76,24.076,32,26.1132
10,2012-01-11,23,15,19,NA,12,15,0,2,724,1745,"RA",NA,5,29.77,29.78,19.2608,20,24.076
11,2012-01-11,22,12,17,11,12,15,1,0,725,1745,"RA",1,284,29.75,29.78,17.2236,21,20.9276
12,2012-01-11,24,15,19,NA,13,15,0,3,608,1811," ",1,284,29.75,29.79,16.1124,22,20.0016
13,2012-01-11,5,-17,-6,NA,-12,-9,33,-11,607,1811,"SN FZFG BR",NA,2,24.24,30.15,9.8156,4,16.2976
14,2012-01-11,13,-2,5,7,-3,1,22,0,740,1737,"SN",76,284,28.45,29.82,26.2984,35,28.8912
15,2012-01-11,1,-7,-3,8,-8,-4,37,0,717,1631,"SN BR",1,1,29.67,30.09,2.0372,36,5.9264
16,2012-01-11,3,-5,-1,NA,-6,-2,34,0,606,1811," ",NA,1,29.93,30.07,5.9264,8,10.9268
17,2012-01-11,16,-5,5,NA,-3,1,22,0,606,1810,"SN BR",NA,3,29.15,29.82,10.5564,33,10.9268
18,2012-01-11,18,2,10,6,3,7,14,0,731,1740," ",1,1,29.26,29.76,6.6672,34,15.0012
19,2012-01-11,12,-3,4,22,-2,1,23,0,721,1638,"BR HZ",1,1,28.85,29.64,1.2964,21,4.63
20,2012-01-11,17,2,9,NA,3,7,14,0,605,1810," ",1,1,29.05,29.76,8.1488,31,17.0384
1,2012-01-12,4,-1,1,NA,-1,1,29,0,611,1814,"RA SN BR",NA,70,29.62,29.74,19.8164,5,22.7796
2,2012-01-12,0,-2,-1,8,-1,-1,33,0,715,1637,"RA SN FG+ FG FZFG BR UP",45,107,28.62,29.69,19.446,5,19.8164
3,2012-01-12,1,-7,-3,-8,-13,-5,37,0,735,1729," ",1,1,29.39,30.11,26.854,30,27.9652
4,2012-01-12,10,0,5,-9,-9,0,23,0,729,1750," ",1,1,29.54,30.24,15.1864,34,15.3716
6,2012-01-12,10,-3,3,-9,-8,0,25,0,728,1750," ",1,1,29.7,30.22,24.6316,34,25.7428
7,2012-01-12,2,-8,-3,NA,-17,-7,38,0,609,1812," ",1,1,28.77,30.17,22.9648,31,23.7056
8,2012-01-12,12,0,6,NA,-7,1,22,1,609,1812," ",NA,1,29.83,NA,22.4092,34,24.076
9,2012-01-12,-9,-12,-11,NA,-15,-12,51,0,609,1812,"SN",NA,284,29.08,29.86,33.336,33,33.7064
10,2012-01-12,23,11,17,NA,11,14,1,0,724,1746," ",NA,1,29.8,29.84,19.8164,24,21.1128
11,2012-01-12,23,8,15,8,11,13,4,0,725,1746,"BR",1,1,29.79,29.84,20.0016,24,21.1128
12,2012-01-12,23,9,16,NA,11,14,3,0,608,1811," ",1,1,29.79,29.84,18.52,24,19.446
13,2012-01-12,4,-19,-8,NA,-17,-8,45,0,607,1811," ",NA,1,24.24,30.23,5.9264,25,12.038
14,2012-01-12,2,-8,-3,-8,-17,-6,37,0,739,1738," ",1,1,28.76,30.16,31.1136,32,32.0396
15,2012-01-12,0,-4,-2,9,-4,-3,36,0,716,1632,"SN FZFG BR UP",46,35,29.44,29.78,12.7788,4,14.2604
16,2012-01-12,5,-1,2,NA,1,2,29,0,606,1811,"RA SN BR",NA,99,29.64,29.7,18.52,4,23.15
17,2012-01-12,1,-5,-2,NA,-14,-6,36,0,606,1811," ",1,1,29.46,30.14,9.8156,30,13.3344
18,2012-01-12,5,-2,1,-9,-10,-2,29,0,730,1741," ",1,1,29.7,30.2,23.3352,32,23.8908
19,2012-01-12,2,-7,-3,8,NA,NA,37,0,721,1639,"DZ SN BR HZ",64,36,28.72,NA,24.4464,34,26.1132
20,2012-01-12,6,-3,1,NA,-11,-3,30,0,605,1810," ",1,1,29.48,30.18,24.4464,32,26.6688
1,2012-01-13,10,-2,4,NA,-3,0,25,0,611,1814,"RA FZRA FG+ FG BR UP",NA,3,29.24,29.41,16.1124,24,23.5204
